"Order No (v2)";2208_FP112017
"PL order No.";
Client;"Romana Diesel"
"Delivery address to client";tocco
VIN;ZB3M300010Y066789-66790-66791-66792-66793
"Production slot (week)";5
Units;5
Brand;Viberti
Category;"NS3K/KB/KO MM2-IT-01 (80 mm neck)"
Typ;NS3KMM2-IT
"axle producer";"SAF Disc"
Calliper;"<span style=""text-decoration: line-through,"">Haldex</span>  "
options;curtainsider
"upper structure type";curtainsider
"hinges for dropsides";NO
"pocket for hestal pillars";YES
"long palletbox";NO
"pockets for 80x80 pillars";none
KTL;YES
"Nominal5 wheel";950
"(real 5 wheel)";975
"wheel size";R19,5
wheels*;"6x  MICHELIN XTA 2 (only 445/45/19,5), 6x  steel rims"
"steering axle";NO
"axle type";"<span style=""text-decoration: line-through,"">BI9-19K IU25/2000 42 2040-1300 (Integral, Knorr brake callipers/zaciskie hamulcowe)</span>  "
"Chassis PDM drawing";"<span style=""text-decoration: line-through,"">P184-K030120</span>  "
"QAD NR";"<span style=""text-decoration: line-through,"">K030865</span>  "
"front wall";"Viberti front wall"
"upper structure";"M3 (aluminium rear pillars and doors, all elements from PL)"
"roof type";"lift to load"
"double plywood on front wall";NO
"internal heights";2950
"upper structure planks";"4 rows of alu planks 100mm (1 on floor + 3 per section)"
"planks holder";none
"landing legs/shaft length/foot/position/ground dis.";B0603/1450/S/up/203
"accessory 1";"spare wheel winch (W195853 for ET 120) + toolbox Jbz700 (W191948) + document box (m18020202_01)"
"accessory 2";"ADR:extinguisher, extinguisher toolbox on landing leg (W983059), ADR plate,  grounding strap (m07050305), assembly wedges on mail beam (2x W100067) becouse of extinguisher box"
"Break pad wear sensors";"Knorr break pad wear sensors K025586 (Knorr sensors+WABCO wire 449 816 030 0)"
"rear buffer";"roll stop- W184261"
"full mudguards";YES
"ferry rings";YES
"lashing rings for fixing goods inside semi.";NO
"1st axle lifted (steering from the cabin)";YES
"1st and 3rd axle lifted (steering from the cabin)";NO
Hubodometer;NO
"Antispray on all mudguards";NO
Lights;other
"tire from Poland";YES
"rims from Poland";YES
"Electric socket";"2x 7pin + 1x 15 pin"
Frame;"KTL + 7021- gray"
"Rear bumper profile, light fixing profile";"Standard RAL 9003"
"Wheel hub";Original
"Side protection color";"Standard (aluminum)"
"Front pillar";"Standard RAL9006"
"Rear pillar";"Standard RAL9006"
"Front wall color";"Standard RAL9006"
"Rear door";Original
Hestal;Original
"tarpaulin No.";none
"tarpaulin color";default
"tarpaulin with graphic";NO
"back doors with graphic";NO
"information abour standard configuration";"brake system is Wabco, aluminium air tanks (160 litre total)"
"Non standard description";"M3
Europoint III
Wheels and rims from PL

For Tocco Tarpaulin SIOEN 7024"
